Dimension,N^o,Function,Equivalent to,Walsh spectrum,Gamma-rank,Delta-rank,Multiplier group
`10`,`10.10`,`x^{3} + p^{341}x^{129} + p^{682}x^{96} + x^{36}`,`C13`,`Gold`,`166168`,-,`476160 = 2^{10} * 3 * 5 * 31`
`10`,`10.11`,`x^{3} + a^{128}x^{6} + a^{384}x^{12} + a^{133}x^{33} + x^{34} + a^{2}x^{64} + x^{65} + a^{128}x^{68} + x^{96} + a^{4}x^{130} + a^{260}x^{136} + a^{4}x^{192} + a^{136}x^{260} + a^{12}x^{384}`,`C12`,`Gold`,`162550`,-,`158720`
`10`,`10.12`,`x^{3} + a^{920}x^{6} + a^{153}x^{12} + a^{925}x^{33} + x^{34} + a^{794}x^{64} + x^{65} + a^{920}x^{68} + x^{96} + a^{796}x^{130} + a^{29}x^{136} + a^{796}x^{192} + a^{928}x^{260} + a^{804}x^{384}`,`C12`,`Gold`,`163400`,-,`31744`
`10`,`10.13`,`x^{3} + p^{788}x^{6} + p^{21}x^{12} + p^{793}x^{33} + x^{34} + p^{662}x^{64} + x^{65} + p^{788}x^{68} + x^{96} + p^{664}x^{130} + p^{920}x^{136} + p^{664}x^{192} + p^{796}x^{260} + p^{672}x^{384}`,`C12`,`Gold`,`163398`,-,`31744`
`10`,`10.14`,`x^{5} + p^{576}x^{18} + p^{512}x^{20} + p^{133}x^{33} + x^{36} + p^{2}x^{64} + p^{514}x^{80} + x^{129} + p^{512}x^{144} + x^{160} + p^{80}x^{514} + p^{16}x^{516} + p^{18}x^{576} + p^{16}x^{640}`,`C12`,`Gold`,`163308`,-,`158720`
`10`,`10.15`,`x^{5} + a^{477}x^{18} + a^{413}x^{20} + a^{34}x^{33} + x^{36} + a^{926}x^{64} + a^{415}x^{80} + x^{129} + a^{413}x^{144} + x^{160} + a^{1004}x^{514} + a^{940}x^{516} + a^{942}x^{576} + a^{940}x^{640}`,`C12`,`Gold`,`164026`,-,`31744`
`10`,`10.16`,`x^{5} + a^{81}x^{18} + a^{17}x^{20} + a^{661}x^{33} + x^{36} + a^{530}x^{64} + a^{19}x^{80} + x^{129} + a^{17}x^{144} + x^{160} + a^{608}x^{514} + a^{544}x^{516} + a^{546}x^{576} + a^{544}x^{640}`,`C12`,`Gold`,`164026`,-,`31744`
`10`,`10.17`,`x^{3} + p^{341}x^{36}`,`C13`,`Gold`,`169984`,-,`168960`
`11`,`11.1`,`x^{3}`,`Gold`,`Gold`,-,-,-
`11`,`11.2`,`x^{5}`,`Gold`,`Gold`,-,-,-
`11`,`11.3`,`x^{9}`,`Gold`,`Gold`,-,-,-
`11`,`11.4`,`x^{17}`,`Gold`,`Gold`,-,-,-
`11`,`11.5`,`x^{33}`,`Gold`,`Gold`,-,-,-
`11`,`11.6`,`x^{13}`,`Kasami`,`Gold`,-,-,-
`11`,`11.7`,`x^{57}`,`Kasami`,`Gold`,-,-,-
`11`,`11.8`,`x^{241}`,`Kasami`,`Gold`,-,-,-
`11`,`11.9`,`x^{993}`,`Kasami`,`Gold`,-,-,-
`11`,`11.10`,`x^{35}`,`Welch`,`Gold`,-,-,-
`11`,`11.11`,`x^{287}`,`Niho`,`Gold`,-,-,-
`11`,`11.12`,`x^{1023}`,`Inverse`,`Inverse`,-,-,-
`11`,`11.13`,`x^{3}+Tr_{11}(x^{9})`,`C4`,`Gold`,-,-,-
