ID,Partition sizes
84,"1, 1, 1, 1, 1, 2, 3, 3, 3, 9, 9, 16, 29, 43, 67, 67"
85,"1, 1, 1, 1, 1, 3, 3, 5, 5, 17, 19, 41, 41, 56, 61"
86,"1, 1, 1, 2, 3, 4, 9, 10, 11, 16, 30, 51, 51, 66"
87,"1, 1, 1, 1, 1, 2, 2, 2, 2, 6, 16, 26, 29, 38, 52, 76"
88,"1, 1, 1, 2, 4, 4, 4, 5, 18, 18, 28, 42, 56, 72"
89,"1, 1, 1, 1, 2, 4, 6, 8, 13, 18, 27, 50, 57, 67"
90,"1, 2, 2, 3, 6, 7, 11, 13, 14, 15, 48, 56, 78"
91,"1, 1, 1, 1, 3, 3, 9, 11, 19, 21, 25, 43, 50, 68"
92,"1, 1, 1, 2, 3, 5, 5, 11, 16, 19, 28, 30, 62, 72"
93,"1, 3, 3, 4, 7, 9, 15, 20, 28, 34, 62, 70"
94,"1, 1, 1, 1, 2, 3, 7, 9, 10, 25, 36, 52, 54, 54"
95,"1, 1, 1, 1, 2, 2, 3, 3, 3, 21, 24, 36, 44, 57, 57"
96,"1, 1, 1, 1, 1, 3, 3, 7, 7, 13, 19, 39, 43, 54, 63"
97,"1, 1, 1, 2, 3, 4, 8, 9, 10, 19, 42, 52, 52, 52"
98,"1, 1, 1, 1, 2, 3, 5, 6, 19, 21, 28, 40, 57, 71"
99,"1, 1, 1, 1, 2, 3, 4, 6, 7, 12, 13, 18, 45, 54, 88"
100,"1, 1, 2, 2, 3, 4, 5, 6, 12, 16, 28, 50, 54, 72"
101,"1, 1, 1, 2, 2, 2, 3, 5, 6, 13, 16, 32, 40, 62, 70"
102,"1, 1, 1, 1, 2, 3, 5, 6, 6, 13, 18, 18, 44, 50, 87"
103,"1, 1, 1, 1, 1, 2, 2, 2, 5, 7, 10, 13, 19, 47, 60, 84"
104,"1, 1, 1, 1, 1, 1, 2, 5, 9, 15, 27, 32, 35, 58, 67"
105,"1, 1, 1, 1, 2, 2, 2, 3, 3, 8, 12, 17, 22, 40, 53, 88"
106,"1, 1, 2, 2, 2, 6, 6, 21, 30, 32, 41, 56, 56"
107,"1, 1, 1, 1, 2, 2, 3, 7, 10, 11, 19, 21, 40, 51, 86"
108,"1, 1, 1, 1, 1, 2, 3, 3, 11, 14, 29, 32, 33, 58, 66"
109,"1, 1, 1, 1, 2, 3, 3, 5, 7, 16, 18, 27, 45, 54, 72"
110,"1, 1, 1, 3, 4, 5, 7, 8, 13, 15, 15, 24, 76, 83"
111,"1, 1, 1, 1, 3, 3, 3, 4, 10, 12, 19, 26, 35, 63, 74"
112,"1, 1, 1, 1, 1, 2, 5, 5, 6, 20, 20, 26, 41, 57, 69"
113,"1, 1, 1, 1, 2, 2, 3, 3, 5, 15, 20, 41, 42, 57, 62"
114,"1, 1, 1, 1, 1, 3, 4, 5, 10, 18, 21, 23, 43, 50, 74"
115,"1, 1, 1, 1, 1, 2, 3, 4, 5, 8, 13, 15, 19, 41, 57, 84"
116,"1, 1, 1, 1, 3, 6, 6, 9, 19, 20, 26, 41, 54, 68"
117,"1, 1, 3, 3, 4, 5, 6, 10, 19, 26, 55, 58, 65"
118,"1, 1, 1, 1, 2, 2, 3, 3, 6, 15, 24, 30, 40, 53, 74"
119,"1, 1, 1, 1, 1, 2, 3, 3, 5, 21, 25, 37, 42, 53, 60"
120,"1, 1, 1, 2, 2, 3, 3, 5, 7, 9, 16, 44, 53, 53, 56"
121,"1, 1, 1, 1, 2, 2, 2, 8, 11, 12, 14, 18, 48, 51, 84"
122,"1, 1, 1, 3, 3, 4, 15, 16, 21, 40, 44, 47, 60"
123,"1, 1, 1, 2, 2, 3, 4, 8, 15, 15, 28, 48, 58, 70"
124,"1, 1, 1, 1, 3, 3, 3, 3, 5, 12, 22, 41, 47, 55, 58"
125,"1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 16, 18, 41, 44, 58, 61"
126,"1, 1, 2, 2, 3, 3, 3, 5, 5, 10, 15, 28, 50, 54, 74"
127,"1, 2, 2, 4, 4, 6, 10, 11, 12, 34, 50, 50, 70"
128,"1, 2, 2, 3, 4, 5, 12, 16, 21, 28, 42, 48, 72"
129,"1, 1, 1, 2, 2, 2, 6, 12, 16, 19, 30, 43, 49, 72"
130,"1, 1, 1, 2, 3, 4, 8, 10, 12, 18, 20, 41, 51, 84"
131,"1, 1, 1, 1, 2, 2, 3, 3, 3, 9, 10, 20, 25, 35, 68, 72"
132,"1, 1, 1, 4, 6, 8, 10, 10, 15, 22, 48, 54, 76"
133,"1, 1, 1, 1, 2, 3, 3, 6, 7, 11, 12, 37, 49, 50, 72"
134,"1, 1, 1, 1, 3, 3, 5, 5, 9, 10, 21, 24, 35, 68, 69"
135,"1, 1, 1, 1, 1, 2, 2, 4, 9, 15, 16, 30, 46, 53, 74"
136,"1, 1, 1, 1, 1, 7, 7, 9, 15, 15, 31, 40, 57, 70"
137,"1, 1, 1, 2, 2, 3, 8, 10, 11, 12, 19, 50, 60, 76"
138,"1, 1, 1, 1, 1, 3, 3, 7, 7, 16, 27, 35, 45, 54, 54"
139,"1, 1, 1, 2, 2, 2, 6, 8, 22, 30, 32, 40, 53, 56"
140,"1, 1, 1, 1, 4, 4, 5, 6, 12, 28, 30, 34, 56, 73"
141,"1, 1, 1, 2, 4, 4, 6, 7, 15, 16, 27, 46, 56, 70"
142,"1, 1, 1, 1, 1, 1, 1, 6, 10, 11, 27, 34, 51, 52, 58"
143,"1, 1, 1, 1, 3, 4, 11, 12, 13, 13, 20, 47, 49, 80"
144,"1, 1, 1, 1, 1, 3, 5, 7, 7, 14, 19, 28, 47, 49, 72"
145,"1, 1, 1, 2, 2, 2, 6, 6, 12, 28, 34, 50, 55, 56"
146,"1, 1, 2, 2, 3, 4, 4, 8, 10, 29, 32, 36, 58, 66"
147,"1, 1, 1, 2, 2, 3, 3, 4, 5, 6, 20, 41, 54, 56, 57"
148,"1, 1, 1, 1, 2, 2, 2, 7, 10, 18, 22, 22, 43, 56, 68"
149,"1, 1, 1, 1, 1, 1, 2, 3, 4, 6, 10, 29, 33, 36, 58, 69"
150,"1, 1, 2, 3, 4, 6, 7, 9, 20, 26, 43, 64, 70"
151,"1, 1, 1, 3, 6, 7, 13, 14, 20, 27, 34, 60, 69"
152,"1, 1, 1, 2, 2, 2, 3, 6, 12, 13, 15, 31, 45, 50, 72"
153,"1, 1, 2, 2, 2, 4, 6, 8, 21, 22, 24, 40, 54, 69"
154,"1, 1, 2, 2, 2, 3, 6, 9, 15, 22, 40, 46, 51, 56"
155,"1, 1, 1, 1, 2, 4, 5, 5, 10, 26, 34, 40, 57, 69"
156,"1, 1, 1, 2, 3, 5, 5, 9, 16, 18, 30, 44, 50, 71"
