Dimension,`N^\circ`,Functions,Families,Relation
`6`,`-`,`-`,`-`,`-`
`7`,`7.1`,`x^{20}+x^{6}+x^{3}`,`-`,`Table 7: No 8.1`
`7`,`7.2`,`x^{34}+x^{18}+x^{5}`,`-`,`Table 7: No 2.1`
`8`,`8.1`,`x^{72}+x^{6}+x^{3}`,`N^\circ5`,`Table 9: No 1.3`
`8`,`8.2`,`x^{72}+x^{36}+x^{3}`,`-`,`Table 9: No 1.4`
`9`,`-`,`-`,`-`,`-`
`10`,`-`,`-`,`-`,`-`
`11`,`-`,`-`,`-`,`-`
